29,Bjursta Table ,https://www.remodelista.com/products/bjursta-extendable-ding-table/,FOO,199,180,73,84,Table
30,Lack Side Table,https://offerup.com/item/detail/535779608,FOO,17,56,46,56,Table
31,Markor Dining Table,https://offerup.com/item/detail/535779608,FOO,40,190,75,95,Table
32,Liatrop Dining Table,https://www.ikea.com/us/en/p/ingatorp-extendable-table-white-40217069/,FOO,499,155,74,110,Table
33,Mella Table,https://www.ikea.com/us/en/p/melltorp-adde-table-and-4-chairs-white-s99014376/?utm_source=google&utm_medium=surfaces&utm_campaign=shopping_feed&utm_content=free_google_shopping_clicks_Dining&region_id=10601192314786955162336659916054086938&gclid=CjwKCAjw1t2pBhAFEiwA_-A-NPYvznQbaFr_Pr_Sd-PRp4Qv7bFdqepMbmCKkUte8CO_O1v-6rk95xoCv54QAvD_BwE,FOO,160,125,74,74,Table
34,Jokkmokk Table,https://www.ikea.com/us/en/p/jokkmokk-table-and-4-chairs-antique-stain-50211104/,FOO,200,117,74,74,Table
35,Lisabo Coffe Table,https://www.ikea.com/us/en/p/lisabo-coffee-table-ash-veneer-70297658/,FOO,170,117,48,48,Table
36,Stornas Extending Table,https://www.ikea.com/cz/en/p/stornaes-extendable-table-antique-stain-40176846/,FOO,344,147,74,95,Table
37,Norden Folding Table,https://www.ikea.com/us/en/p/norden-gateleg-table-birch-90423887/,FOO,350,89,74,81,Table
38,Vejmon Coffee Table,https://www.ikea.com/sa/en/p/vejmon-coffee-table-black-brown-60136680/,FOO,160,95,5,93,Table
